\hline
cycletimes & error & ratio
1 & 0.609378\\ \hline
2 & 0.176765& 3.4474\\ \hline
3 & 0.0372886& 4.74044\\ \hline
4 & 0.00701537& 5.31528\\ \hline
5 & 0.0012533& 5.59751\\ \hline
6 & 0.000218395& 5.7387\\ \hline
7 & 3.76241e-05& 5.80465\\ \hline
8 & 6.45586e-06& 5.82791\\ \hline
9 & 1.14953e-06& 5.61606\\ \hline
10 & 2.11361e-07& 5.43872\\ \hline
11 & 3.90696e-08& 5.40986\\ \hline
12 & 7.25591e-09& 5.38453\\ \hline
13 & 1.35293e-09& 5.36311\\ \hline
14 & 2.53106e-10& 5.34531\\ \hline
15 & 4.74813e-11& 5.33064\\ \hline
16 & 9.061e-12& 5.24018\\ \hline
17 & 1.72204e-12& 5.2618\\ \hline
18 & 3.59286e-13& 4.79294\\ \hline
19 & 3.01682e-13& 1.19094\\ \hline
20 & 2.66584e-13& 1.13166\\ \hline
21 & 2.69174e-13& 0.990378\\ \hline
22 & 3.22848e-13& 0.833748\\ \hline
23 & 3.60983e-13& 0.894359\\ \hline
24 & 3.84917e-13& 0.937819\\ \hline
25 & 2.87661e-13& 1.33809\\ \hline
26 & 2.69531e-13& 1.06726\\ \hline
27 & 2.35684e-13& 1.14362\\ \hline
28 & 2.35594e-13& 1.00038\\ \hline
29 & 3.60625e-13& 0.653294\\ \hline
30 & 2.66584e-13& 1.35276\\ \hline
31 & 3.12399e-13& 0.853345\\ \hline
32 & 3.58214e-13& 0.872102\\ \hline
