\hline
cycletimes & error & ratio
1 & 0.771571\\ \hline
2 & 0.364276& 2.11809\\ \hline
3 & 0.112375& 3.2416\\ \hline
4 & 0.027566& 4.07659\\ \hline
5 & 0.00601836& 4.58033\\ \hline
6 & 0.00122865& 4.89833\\ \hline
7 & 0.000240685& 5.10482\\ \hline
8 & 4.5928e-05& 5.24049\\ \hline
9 & 8.61798e-06& 5.32932\\ \hline
10 & 1.59999e-06& 5.38626\\ \hline
11 & 2.9515e-07& 5.42095\\ \hline
12 & 5.51994e-08& 5.34698\\ \hline
13 & 1.05192e-08& 5.24748\\ \hline
14 & 2.00364e-09& 5.25006\\ \hline
15 & 3.81569e-10& 5.25104\\ \hline
16 & 7.26316e-11& 5.25349\\ \hline
17 & 2.24543e-11& 3.23465\\ \hline
18 & 2.35891e-11& 0.951893\\ \hline
19 & 2.15705e-11& 1.09358\\ \hline
20 & 2.12576e-11& 1.01472\\ \hline
21 & 2.10873e-11& 1.00807\\ \hline
22 & 1.96407e-11& 1.07366\\ \hline
23 & 1.89702e-11& 1.03534\\ \hline
24 & 2.60157e-11& 0.729181\\ \hline
25 & 2.11269e-11& 1.2314\\ \hline
26 & 2.46901e-11& 0.855682\\ \hline
27 & 2.82618e-11& 0.873624\\ \hline
28 & 2.2346e-11& 1.26473\\ \hline
29 & 2.80491e-11& 0.796674\\ \hline
30 & 2.0995e-11& 1.33599\\ \hline
31 & 2.46901e-11& 0.850339\\ \hline
32 & 2.48985e-11& 0.991632\\ \hline
