\hline
cycletimes & error & ratio
1 & 0.658962\\ \hline
2 & 0.236748& 2.78339\\ \hline
3 & 0.0568406& 4.16513\\ \hline
4 & 0.0116753& 4.86846\\ \hline
5 & 0.00222705& 5.24248\\ \hline
6 & 0.000408461& 5.4523\\ \hline
7 & 7.33232e-05& 5.5707\\ \hline
8 & 1.30133e-05& 5.63449\\ \hline
9 & 2.29746e-06& 5.66421\\ \hline
10 & 4.22718e-07& 5.43497\\ \hline
11 & 7.85543e-08& 5.38122\\ \hline
12 & 1.46312e-08& 5.36895\\ \hline
13 & 2.73216e-09& 5.35518\\ \hline
14 & 5.11537e-10& 5.34109\\ \hline
15 & 9.60167e-11& 5.32758\\ \hline
16 & 1.80657e-11& 5.31486\\ \hline
17 & 3.43035e-12& 5.26643\\ \hline
18 & 1.16632e-12& 2.94118\\ \hline
19 & 1.26641e-12& 0.920967\\ \hline
20 & 1.25203e-12& 1.01148\\ \hline
21 & 1.25856e-12& 0.994815\\ \hline
22 & 1.16747e-12& 1.07803\\ \hline
23 & 1.34057e-12& 0.870872\\ \hline
24 & 1.33158e-12& 1.00675\\ \hline
25 & 1.27655e-12& 1.04311\\ \hline
26 & 1.50574e-12& 0.847789\\ \hline
27 & 1.4859e-12& 1.01335\\ \hline
28 & 1.00953e-12& 1.47187\\ \hline
29 & 1.36253e-12& 0.740923\\ \hline
30 & 1.31517e-12& 1.03601\\ \hline
31 & 1.30838e-12& 1.00519\\ \hline
32 & 1.10001e-12& 1.18943\\ \hline
