\hline
cycletimes & error & ratio
1 & 0.0666665\\ \hline
2 & 0.0113086& 5.89522\\ \hline
3 & 0.00181042& 6.24639\\ \hline
4 & 0.000290102& 6.24061\\ \hline
5 & 4.69854e-05& 6.17431\\ \hline
6 & 7.70041e-06& 6.10168\\ \hline
7 & 1.27592e-06& 6.03517\\ \hline
8 & 2.13481e-07& 5.97675\\ \hline
9 & 3.77894e-08& 5.64923\\ \hline
10 & 6.80175e-09& 5.55583\\ \hline
11 & 1.22867e-09& 5.53585\\ \hline
12 & 2.22829e-10& 5.51396\\ \hline
13 & 4.05763e-11& 5.49162\\ \hline
14 & 7.41863e-12& 5.46951\\ \hline
15 & 1.36183e-12& 5.44754\\ \hline
16 & 2.50937e-13& 5.42699\\ \hline
17 & 4.6485e-14& 5.39824\\ \hline
18 & 8.58091e-15& 5.41725\\ \hline
19 & 1.49783e-15& 5.72888\\ \hline
20 & 4.86884e-16& 3.07637\\ \hline
21 & 4.98337e-16& 0.977017\\ \hline
22 & 6.31191e-16& 0.789518\\ \hline
23 & 6.31191e-16& 1\\ \hline
24 & 5.73498e-16& 1.1006\\ \hline
25 & 5.32641e-16& 1.07671\\ \hline
26 & 4.82921e-16& 1.10296\\ \hline
27 & 5.1089e-16& 0.945254\\ \hline
28 & 4.49984e-16& 1.13535\\ \hline
29 & 5.32641e-16& 0.844818\\ \hline
30 & 4.82921e-16& 1.10296\\ \hline
31 & 4.82921e-16& 1\\ \hline
32 & 5.73498e-16& 0.842063\\ \hline
