\hline
cycletimes & error & ratio
1 & 0.0666667\\ \hline
2 & 0.0113082& 5.89541\\ \hline
3 & 0.00181018& 6.24702\\ \hline
4 & 0.000290034& 6.24127\\ \hline
5 & 4.6973e-05& 6.17448\\ \hline
6 & 7.69933e-06& 6.10092\\ \hline
7 & 1.27616e-06& 6.03319\\ \hline
8 & 2.13642e-07& 5.97336\\ \hline
9 & 3.77174e-08& 5.66429\\ \hline
10 & 6.79086e-09& 5.55414\\ \hline
11 & 1.22727e-09& 5.53331\\ \hline
12 & 2.22707e-10& 5.51068\\ \hline
13 & 4.05822e-11& 5.4878\\ \hline
14 & 7.42531e-12& 5.46539\\ \hline
15 & 1.36387e-12& 5.44428\\ \hline
16 & 2.51438e-13& 5.42429\\ \hline
17 & 4.64102e-14& 5.41774\\ \hline
18 & 8.69728e-15& 5.33617\\ \hline
19 & 1.61415e-15& 5.38815\\ \hline
20 & 7.58254e-16& 2.12877\\ \hline
21 & 6.56752e-16& 1.15455\\ \hline
22 & 7.26131e-16& 0.904454\\ \hline
23 & 6.91684e-16& 1.0498\\ \hline
24 & 6.56752e-16& 1.05319\\ \hline
25 & 6.56752e-16& 1\\ \hline
26 & 6.91684e-16& 0.949498\\ \hline
27 & 6.56752e-16& 1.05319\\ \hline
28 & 6.56752e-16& 1\\ \hline
29 & 6.91684e-16& 0.949498\\ \hline
30 & 6.56752e-16& 1.05319\\ \hline
31 & 6.56752e-16& 1\\ \hline
32 & 6.91684e-16& 0.949498\\ \hline
